Index,Date Time,Sigma,train_loss_last_value,val_loss_last_value,Learning Rate,Epochs,Seed,Training Time,Training Set Size,Image Path,Numpy Path,Last 100 Train Losses,Last 100 Val Losses,Train Val Loss File Path,Last 100 Train Loss File Path,Last 100 Val Loss File Path
1,2024-04-11_02-01,0.4,2.5351322086310457,2.8301358414624413,0.0001,30000,123,26152.80267,1743,./Images_Plots/symlog_sig_0.4_eph_30000_lr_0.0001_2024-04-11_02-01.png,./Images_Plots/symlog_sig_0.4_eph_30000_lr_0.0001_2024-04-11_02-01.npy,2.5351322086310457,2.8301358414624413,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-11_02-01.npy,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-11_02-01_last100trainLoss.npy,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-11_02-01_last100valLoss.npy
2,2024-04-11_04-02,0.04,-11.231748051921615,11.763623211333053,0.0001,30000,123,33430.62843,1743,./Images_Plots/symlog_sig_0.04_eph_30000_lr_0.0001_2024-04-11_04-02.png,./Images_Plots/symlog_sig_0.04_eph_30000_lr_0.0001_2024-04-11_04-02.npy,-11.231748051921615,11.763623211333053,results/Loss_sigma_0.04_epochs_30000_lr_0.0001_2024-04-11_04-02.npy,results/Loss_sigma_0.04_epochs_30000_lr_0.0001_2024-04-11_04-02_last100trainLoss.npy,results/Loss_sigma_0.04_epochs_30000_lr_0.0001_2024-04-11_04-02_last100valLoss.npy
3,2024-04-11_09-22,0.6,4.967604520800482,5.1688518385297035,0.0001,30000,123,26438.57586,1743,./Images_Plots/symlog_sig_0.6_eph_30000_lr_0.0001_2024-04-11_09-22.png,./Images_Plots/symlog_sig_0.6_eph_30000_lr_0.0001_2024-04-11_09-22.npy,4.967604520800482,5.1688518385297035,results/Loss_sigma_0.6_epochs_30000_lr_0.0001_2024-04-11_09-22.npy,results/Loss_sigma_0.6_epochs_30000_lr_0.0001_2024-04-11_09-22_last100trainLoss.npy,results/Loss_sigma_0.6_epochs_30000_lr_0.0001_2024-04-11_09-22_last100valLoss.npy
4,2024-04-11_14-39,0.1,-1.8463819129259083,-2.725506689512235,0.0001,30,123,27.6641,1743,./Images_Plots/symlog_sig_0.1_eph_30_lr_0.0001_2024-04-11_14-39.png,./Images_Plots/symlog_sig_0.1_eph_30_lr_0.0001_2024-04-11_14-39.npy,-1.8463819129259083,-2.725506689512235,results/Loss_sigma_0.1_epochs_30_lr_0.0001_2024-04-11_14-39.npy,results/Loss_sigma_0.1_epochs_30_lr_0.0001_2024-04-11_14-39_last100trainLoss.npy,results/Loss_sigma_0.1_epochs_30_lr_0.0001_2024-04-11_14-39_last100valLoss.npy
5,2024-04-11_15-35,0.1,-3.927388424862124,-4.0395643899661735,0.0001,100,123,92.82378,1743,./Images_Plots/symlog_sig_0.1_eph_100_lr_0.0001_2024-04-11_15-35.png,./Images_Plots/symlog_sig_0.1_eph_100_lr_0.0001_2024-04-11_15-35.npy,-3.927388424862124,-4.0395643899661735,results/Loss_sigma_0.1_epochs_100_lr_0.0001_2024-04-11_15-35.npy,results/Loss_sigma_0.1_epochs_100_lr_0.0001_2024-04-11_15-35_last100trainLoss.npy,results/Loss_sigma_0.1_epochs_100_lr_0.0001_2024-04-11_15-35_last100valLoss.npy
